,comment
36,"8:20 ống kính quay tới thì làm mặt ngầu thôi, chứ trong bụng ổng vui lắm vì MU mà ổng rất ghét đã thua tiếp. Khi ổng qua CLB khác, tự dưng ổng sẽ thắng hoài luôn bởi ổng chỉ anti MU thôi 😃😂 Điệp viên Rangnick nguy hiểm hơn Maguire nhiều"
37,Hết là đúng rồi.Ko có gì phải bất ngờ.Với thực lực như vậy thì dừng chân là hợp lý.!
38,Là 1 fan MU  tôi thấy khá bất ngờ  khi đội bóng đc vào tứ kết cùng PSG
39,Đá ở cúp C1 và C2 thì độ quái trong thi đấu là rất quan trọng.
40,"xem highlight thôi nhưng thấy thủ thành 2 bên quá xuất sắc, rất tiếc cho Mu"
41,"Mesi đã gọi và Ro trả lời, cm mừng 2 b đã đưa đội bóng của mình về đúng vị thế của nó."
42,Hàng thủ của MU đỉnh quá
43,"quả vào đầu tiên của Aletico Marid  do ô hậu vệ MU thấy ô kia đánh đầu còn lé đi,mà đúng ra là phải nhảy cùng vào đầu lại,hài"
44,"I love how De Gea gives a free shot to Atletico and then yells ""Come on!!"" at his teammates. LOL"
45,Chúc mừng atletico 🔥🔥🔥🔥
46,"Rô có được chuyền bóng đâu, hậu cánh toàn sút không thấy tạt =)). Messi gọi và Rô trả lời =)) 2 anh cùng dắt tay nhau đi về"
47,"MU đúng ông hoàng dùng người,chưa bao giờ thấy đội bóng chơi pressing tầm cao mà dùng 1 thủ môn cổ điển:))"
48,Chúc mừng MU đã quay trở lại 😂😂
49,Một trận cầu hay 🔥🔥🔥🔥
50,Fan mu nhưng cx xin chúc mừng Atc. Mong ronaldo sớm lấy lại tinh thần cho đại chiến tại vlworldcup và với italia
51,Một mùa giải thành công của MU bị loại C1 cố gắng vô địch tốp 6 NHA 😭😭😭
52,"sự chắc chắn, kỷ luật và bản lĩnh là những thứ MU ko có :))))"
53,"Ở EPL bây h đang thứ 5, thua Arsenal 1 điểm nhưng đá nhiều hơn 3 trận. Các fan MU lạc quan nhất muốn vô địch C1 để có vé dự C1 mùa sau nhưng giấc mộng sớm tan thành mây khói."
54,Tôi k hiểu vì sao Pogba phong độ đang bay thì dự bị còn B18 thì là người được chọn
55,2 thủ môn chơi trận này đỉnh cực
56,"Thật trùng hợp. Messi và Ronaldo đều bị loại bởi 2 đội bóng thủ đô Madrid , những đội mà họ đã từng trải qua đắng cay ngọt bùi ."
57,"Hiệp 1 MU đá khá hay, nhưng khi để cho ATM ghi 1 bàn thắng, thì để khoan thủng được hàng phòng ngự giày đặc của ATM thật sự khó cho bất cứ đội bóng nào."
58,"Tội Gea,gánh cả rạp xiếc còng lưng,ra đi không được,ở lại không xong 🤣"
59,Chả sao. Vẫn yêu anh cr7 và MU ❤
60,Harry Maquire is still here? Wow… Man utd will be my champions of fool this season and more……
61,Đúng là cần phải có 1 tí may mắn ...phải quả đầu tiên ko trúng vào mặt thủ môn thì ngon lành. Chúc mừng Al
62,"chính xác MU chỉ là quá khứ thôi,còn hiện tại đội yếu cũng có thể xơi tái đc"
63,Trận này Oblak bắt như lên đồng 👍👍👍
64,Mu quá nhiều cầu thủ mang chủ nghĩa cá nhân..nếu đồng đội hơn thì có thể Mu đã có nhiều bàn thắng
65,Khối thịnh vượng La Liga muôn năm =)))
66,"1 trận đấu hay của Aletico họ tấn công ko nhiều nhưng những lần tấn công của họ rất sắc sảo và 1 trong số đó họ đã thành công. Mà mình thấy 2 ông BLV bình luận rõ là thiên vị PSG của Messi thua thì gào thét tung hô Real đủ kiểu, hôm nay MU thua ko thấy tung hô Aletico mà chỉ thấy tiếc cho MU"
67,Anh 7 bất lực.xem hết video mà  thấy anh 7 được đánh mỗi đầu 1 phát vì bóng trúng xà ngang bật lại
68,"T cứ mong MU thua càng nhiều càng tốt, để họ thấy được mà cải tạo lại đội hình. Thành phần nào xứng đáng thành phần nào phải tống khứ càng nhanh càng tốt."
69,"MU trận này đá không tệ. Tạo áp lực lên Alt khá tốt nhưng lại tạo ra cơ hội quá ít. Chỉ có quả đánh đầu của Varane là nguy hiểm thôi. 
Rời giải như vậy cũng là ngẩng cao đầu rồi. Lực của MU chưa đủ, có đi tiếp cũng chẳng vô địch nổi. Chúc mừng Alt. Nhưng vô địch C1 năm nay là 1 trong 3 cái tên Liver, MC và Real. Theo dự đoán của tui. "
70,Fan Bayern chúc mừng ATM và chia buồn vs fan mu nhé. Hẹn các b mùa giải năm sau 💪❤️💪
71,chúc mừng aletico nhé đội bạn xứng đáng giành vé
72,Một trận đấu may mắn cho Simeone khi ông đã kịp tung ra cú bứt tốc về phía đường hầm mà không dính phải 1 chai nước nào từ trên khán đài :D
73,Ronaldo và Messi ko còn đc gọi là những ngôi sao nữa. Mà giờ hãy gọi 2 anh là Huyền thoại. Chắc ko còn chiếc cup C1 nào đc 2 anh dâng lên ăn mừng nữa
74,Pha đánh đầu king điển vào mồm đồng đội quá hay
75,Thật tiếc cho Degea.
76,"Dù thích MU nhưng phải nói là “ngu thì chịu”😪
Alentico kiên cường, và tổ chức xứng đáng vào hơn
Chúc mừng simione 🎉"
77,"Bậc thầy chiến thuật , người sáng tạo lối đá pressing , thầy của Kloop và tuchel, khắc tinh của Atm , người gieo sầu cho cđv atm và cái kết Atm ra về và chuẩn bị cho đối thủ tiếp theo tại tứ kết c1"
78,"Phải cho lên top thịnh hành.  Này thì khắc tinh này thì hung thần. Tất cả đã xa rồi, kể cả với Messi cũng từng là khắc tinh với MC =)))) 
ATM ngấp nghé top 5 laliga nhưng trình của Mu bây giờ thua cũng chẳng còn bất ngờ =))))"
79,Điều kỳ diệu rời RM đến đội bóng nào dự cúp C1 là đội đó thành khán giả ngay
80,"MU vẫn thiếu 1 tiền vệ trụ đủ tốt để Fred làm tiền vệ con thoi, phát huy hết khả năng tấn công. Các cầu thủ MU cũng nên hạn chế sút xa vì thực tế cho thấy (ngoại trừ quả Ro nã vào lưới Tot) nó hiếm khi thành công và là sự phung phí cơ hội, làm tinh thần cầu thủ đi xuống."
81,"Thật khó để M.U sẽ có cơ hội đá C1 mùa sau , top4 quá xa vời."
